class	kingdom	variable	year	area	n_emerging	n_total
Magnoliopsida	Plantae	observations	2020	Natura2000	420	901
Magnoliopsida	Plantae	occupancy	2020	Natura2000	402	901
Magnoliopsida	Plantae	occupancy	2020	Belgium	217	901
Magnoliopsida	Plantae	observations	2020	Belgium	206	901
Liliopsida	Plantae	occupancy	2020	Natura2000	97	208
Insecta	Animalia	observations	2020	Natura2000	95	195
Insecta	Animalia	occupancy	2020	Natura2000	90	195
Liliopsida	Plantae	observations	2020	Natura2000	90	208
Aves	Animalia	observations	2020	Natura2000	71	225
Aves	Animalia	occupancy	2020	Natura2000	65	225
Insecta	Animalia	observations	2020	Belgium	45	195
Insecta	Animalia	occupancy	2020	Belgium	42	195
Liliopsida	Plantae	observations	2020	Belgium	42	208
Liliopsida	Plantae	occupancy	2020	Belgium	42	208
Aves	Animalia	observations	2020	Belgium	40	225
	Animalia	occupancy	2020	Natura2000	25	25
Aves	Animalia	occupancy	2020	Belgium	23	225
Arachnida	Animalia	occupancy	2020	Natura2000	22	28
Arachnida	Animalia	observations	2020	Natura2000	14	28
Mammalia	Animalia	occupancy	2020	Natura2000	14	31
Squamata	Animalia	occupancy	2020	Natura2000	14	16
Gastropoda	Animalia	observations	2020	Natura2000	12	21
Malacostraca	Animalia	observations	2020	Natura2000	11	32
Pinopsida	Plantae	occupancy	2020	Belgium	11	35
Gastropoda	Animalia	occupancy	2020	Natura2000	10	21
Mammalia	Animalia	observations	2020	Natura2000	10	31
Pinopsida	Plantae	observations	2020	Natura2000	10	35
Polypodiopsida	Plantae	observations	2020	Natura2000	10	20
Amphibia	Animalia	occupancy	2020	Natura2000	9	11
Malacostraca	Animalia	occupancy	2020	Natura2000	9	32
Pinopsida	Plantae	observations	2020	Belgium	9	35
Polypodiopsida	Plantae	occupancy	2020	Natura2000	9	20
Testudines	Animalia	occupancy	2020	Natura2000	9	15
Malacostraca	Animalia	observations	2020	Belgium	8	32
Polypodiopsida	Plantae	observations	2020	Belgium	8	20
Testudines	Animalia	observations	2020	Natura2000	8	15
Arachnida	Animalia	observations	2020	Belgium	7	28
Arachnida	Animalia	occupancy	2020	Belgium	7	28
Polypodiopsida	Plantae	occupancy	2020	Belgium	7	20
	Animalia	observations	2020	Natura2000	7	25
Amphibia	Animalia	observations	2020	Natura2000	6	11
Gastropoda	Animalia	observations	2020	Belgium	6	21
Pinopsida	Plantae	occupancy	2020	Natura2000	6	35
Testudines	Animalia	observations	2020	Belgium	6	15
Bivalvia	Animalia	observations	2020	Natura2000	5	13
Mammalia	Animalia	occupancy	2020	Belgium	5	31
Pucciniomycetes	Fungi	occupancy	2020	Natura2000	5	6
Squamata	Animalia	observations	2020	Natura2000	5	16
Testudines	Animalia	occupancy	2020	Belgium	5	15
Bivalvia	Animalia	occupancy	2020	Natura2000	4	13
Gastropoda	Animalia	occupancy	2020	Belgium	4	21
Malacostraca	Animalia	occupancy	2020	Belgium	4	32
Mammalia	Animalia	observations	2020	Belgium	4	31
Ascidiacea	Animalia	observations	2020	Natura2000	3	4
Ascidiacea	Animalia	occupancy	2020	Natura2000	3	4
Bivalvia	Animalia	observations	2020	Belgium	3	13
Bivalvia	Animalia	occupancy	2020	Belgium	3	13
Clitellata	Animalia	occupancy	2020	Natura2000	3	6
Diplopoda	Animalia	occupancy	2020	Natura2000	3	3
Gymnolaemata	Animalia	occupancy	2020	Natura2000	3	3
Polychaeta	Animalia	occupancy	2020	Natura2000	3	4
Pucciniomycetes	Fungi	observations	2020	Natura2000	3	6
Agaricomycetes	Fungi	occupancy	2020	Natura2000	2	2
Bryopsida	Plantae	observations	2020	Belgium	2	2
Bryopsida	Plantae	observations	2020	Natura2000	2	2
Bryopsida	Plantae	occupancy	2020	Belgium	2	2
Clitellata	Animalia	observations	2020	Natura2000	2	6
Demospongiae	Animalia	occupancy	2020	Natura2000	2	2
Diplopoda	Animalia	observations	2020	Natura2000	2	3
Hydrozoa	Animalia	occupancy	2020	Natura2000	2	2
Phaeophyceae	Chromista	occupancy	2020	Natura2000	2	2
Squamata	Animalia	observations	2020	Belgium	2	16
Squamata	Animalia	occupancy	2020	Belgium	2	16
Ustilaginomycetes	Fungi	occupancy	2020	Natura2000	2	2
	Animalia	observations	2020	Belgium	2	25
	Animalia	occupancy	2020	Belgium	2	25
Agaricomycetes	Fungi	observations	2020	Belgium	1	2
Agaricomycetes	Fungi	observations	2020	Natura2000	1	2
Agaricomycetes	Fungi	occupancy	2020	Belgium	1	2
Amphibia	Animalia	occupancy	2020	Belgium	1	11
Anthozoa	Animalia	occupancy	2020	Natura2000	1	1
Ascidiacea	Animalia	occupancy	2020	Belgium	1	4
Chilopoda	Animalia	observations	2020	Belgium	1	1
Chilopoda	Animalia	occupancy	2020	Belgium	1	1
Chilopoda	Animalia	occupancy	2020	Natura2000	1	1
Clitellata	Animalia	observations	2020	Belgium	1	6
Clitellata	Animalia	occupancy	2020	Belgium	1	6
Copepoda	Animalia	occupancy	2020	Natura2000	1	1
Demospongiae	Animalia	observations	2020	Natura2000	1	2
Diplopoda	Animalia	observations	2020	Belgium	1	3
Diplopoda	Animalia	occupancy	2020	Belgium	1	3
Ginkgoopsida	Plantae	observations	2020	Natura2000	1	1
Ginkgoopsida	Plantae	occupancy	2020	Natura2000	1	1
Gnetopsida	Plantae	occupancy	2020	Natura2000	1	1
Gymnolaemata	Animalia	observations	2020	Natura2000	1	3
Hydrozoa	Animalia	observations	2020	Natura2000	1	2
Jungermanniopsida	Plantae	observations	2020	Belgium	1	1
Jungermanniopsida	Plantae	observations	2020	Natura2000	1	1
Jungermanniopsida	Plantae	occupancy	2020	Belgium	1	1
Leotiomycetes	Fungi	occupancy	2020	Natura2000	1	1
Maxillopoda	Animalia	occupancy	2020	Natura2000	1	1
Monogenea	Animalia	observations	2020	Natura2000	1	1
Monogenea	Animalia	occupancy	2020	Natura2000	1	1
Phaeophyceae	Chromista	observations	2020	Belgium	1	2
Phaeophyceae	Chromista	observations	2020	Natura2000	1	2
Phaeophyceae	Chromista	occupancy	2020	Belgium	1	2
Phylactolaemata	Animalia	occupancy	2020	Natura2000	1	1
Polychaeta	Animalia	observations	2020	Natura2000	1	4
Pucciniomycetes	Fungi	observations	2020	Belgium	1	6
Pucciniomycetes	Fungi	occupancy	2020	Belgium	1	6
Tentaculata	Animalia	occupancy	2020	Natura2000	1	1
Ustilaginomycetes	Fungi	observations	2020	Belgium	1	2
Ustilaginomycetes	Fungi	observations	2020	Natura2000	1	2
Ustilaginomycetes	Fungi	occupancy	2020	Belgium	1	2
Amphibia	Animalia	observations	2020	Belgium	0	11
Anthozoa	Animalia	observations	2020	Belgium	0	1
Anthozoa	Animalia	observations	2020	Natura2000	0	1
Anthozoa	Animalia	occupancy	2020	Belgium	0	1
Ascidiacea	Animalia	observations	2020	Belgium	0	4
Branchiopoda	Animalia	observations	2020	Belgium	0	1
Branchiopoda	Animalia	observations	2020	Natura2000	0	1
Branchiopoda	Animalia	occupancy	2020	Belgium	0	1
Branchiopoda	Animalia	occupancy	2020	Natura2000	0	1
Bryopsida	Plantae	occupancy	2020	Natura2000	0	2
Chilopoda	Animalia	observations	2020	Natura2000	0	1
Copepoda	Animalia	observations	2020	Belgium	0	1
Copepoda	Animalia	observations	2020	Natura2000	0	1
Copepoda	Animalia	occupancy	2020	Belgium	0	1
Demospongiae	Animalia	observations	2020	Belgium	0	2
Demospongiae	Animalia	occupancy	2020	Belgium	0	2
Ginkgoopsida	Plantae	observations	2020	Belgium	0	1
Ginkgoopsida	Plantae	occupancy	2020	Belgium	0	1
Gnetopsida	Plantae	observations	2020	Belgium	0	1
Gnetopsida	Plantae	observations	2020	Natura2000	0	1
Gnetopsida	Plantae	occupancy	2020	Belgium	0	1
Gymnolaemata	Animalia	observations	2020	Belgium	0	3
Gymnolaemata	Animalia	occupancy	2020	Belgium	0	3
Hydrozoa	Animalia	observations	2020	Belgium	0	2
Hydrozoa	Animalia	occupancy	2020	Belgium	0	2
Jungermanniopsida	Plantae	occupancy	2020	Natura2000	0	1
Leotiomycetes	Fungi	observations	2020	Belgium	0	1
Leotiomycetes	Fungi	observations	2020	Natura2000	0	1
Leotiomycetes	Fungi	occupancy	2020	Belgium	0	1
Maxillopoda	Animalia	observations	2020	Belgium	0	1
Maxillopoda	Animalia	observations	2020	Natura2000	0	1
Maxillopoda	Animalia	occupancy	2020	Belgium	0	1
Monogenea	Animalia	observations	2020	Belgium	0	1
Monogenea	Animalia	occupancy	2020	Belgium	0	1
Phylactolaemata	Animalia	observations	2020	Belgium	0	1
Phylactolaemata	Animalia	observations	2020	Natura2000	0	1
Phylactolaemata	Animalia	occupancy	2020	Belgium	0	1
Polychaeta	Animalia	observations	2020	Belgium	0	4
Polychaeta	Animalia	occupancy	2020	Belgium	0	4
Tentaculata	Animalia	observations	2020	Belgium	0	1
Tentaculata	Animalia	observations	2020	Natura2000	0	1
Tentaculata	Animalia	occupancy	2020	Belgium	0	1
Magnoliopsida	Plantae	observations	2021	Natura2000	403	901
Magnoliopsida	Plantae	occupancy	2021	Natura2000	391	901
Magnoliopsida	Plantae	observations	2021	Belgium	159	901
Magnoliopsida	Plantae	occupancy	2021	Belgium	131	901
Liliopsida	Plantae	occupancy	2021	Natura2000	94	208
Liliopsida	Plantae	observations	2021	Natura2000	86	208
Insecta	Animalia	observations	2021	Natura2000	85	195
Insecta	Animalia	occupancy	2021	Natura2000	85	195
Aves	Animalia	occupancy	2021	Natura2000	74	225
Aves	Animalia	observations	2021	Natura2000	73	225
Liliopsida	Plantae	observations	2021	Belgium	53	208
Insecta	Animalia	observations	2021	Belgium	49	195
Insecta	Animalia	occupancy	2021	Belgium	43	195
Aves	Animalia	observations	2021	Belgium	42	225
Liliopsida	Plantae	occupancy	2021	Belgium	38	208
Aves	Animalia	occupancy	2021	Belgium	37	225
	Animalia	occupancy	2021	Natura2000	25	25
Arachnida	Animalia	occupancy	2021	Natura2000	22	28
Gastropoda	Animalia	observations	2021	Natura2000	15	21
Gastropoda	Animalia	occupancy	2021	Natura2000	15	21
Mammalia	Animalia	occupancy	2021	Natura2000	14	31
Squamata	Animalia	occupancy	2021	Natura2000	14	16
Arachnida	Animalia	observations	2021	Natura2000	13	28
Polypodiopsida	Plantae	observations	2021	Natura2000	13	20
Pinopsida	Plantae	observations	2021	Belgium	11	35
Testudines	Animalia	occupancy	2021	Natura2000	11	15
Malacostraca	Animalia	observations	2021	Natura2000	10	32
Amphibia	Animalia	occupancy	2021	Natura2000	9	11
Malacostraca	Animalia	occupancy	2021	Natura2000	9	32
Pinopsida	Plantae	observations	2021	Natura2000	9	35
Pinopsida	Plantae	occupancy	2021	Belgium	9	35
Polypodiopsida	Plantae	occupancy	2021	Natura2000	9	20
Gastropoda	Animalia	occupancy	2021	Belgium	8	21
Malacostraca	Animalia	observations	2021	Belgium	8	32
Mammalia	Animalia	observations	2021	Natura2000	8	31
Arachnida	Animalia	observations	2021	Belgium	7	28
Arachnida	Animalia	occupancy	2021	Belgium	7	28
Polypodiopsida	Plantae	observations	2021	Belgium	7	20
Testudines	Animalia	occupancy	2021	Belgium	7	15
	Animalia	observations	2021	Natura2000	7	25
Amphibia	Animalia	observations	2021	Natura2000	6	11
Gastropoda	Animalia	observations	2021	Belgium	6	21
Testudines	Animalia	observations	2021	Belgium	6	15
Testudines	Animalia	observations	2021	Natura2000	6	15
Bivalvia	Animalia	observations	2021	Natura2000	5	13
Polypodiopsida	Plantae	occupancy	2021	Belgium	5	20
Pucciniomycetes	Fungi	occupancy	2021	Natura2000	5	6
Bivalvia	Animalia	occupancy	2021	Belgium	4	13
Malacostraca	Animalia	occupancy	2021	Belgium	4	32
Mammalia	Animalia	observations	2021	Belgium	4	31
Mammalia	Animalia	occupancy	2021	Belgium	4	31
Squamata	Animalia	observations	2021	Natura2000	4	16
Ascidiacea	Animalia	observations	2021	Natura2000	3	4
Ascidiacea	Animalia	occupancy	2021	Natura2000	3	4
Bivalvia	Animalia	observations	2021	Belgium	3	13
Clitellata	Animalia	occupancy	2021	Natura2000	3	6
Diplopoda	Animalia	occupancy	2021	Natura2000	3	3
Gymnolaemata	Animalia	occupancy	2021	Natura2000	3	3
Pinopsida	Plantae	occupancy	2021	Natura2000	3	35
Polychaeta	Animalia	occupancy	2021	Natura2000	3	4
Pucciniomycetes	Fungi	observations	2021	Natura2000	3	6
Squamata	Animalia	observations	2021	Belgium	3	16
Squamata	Animalia	occupancy	2021	Belgium	3	16
Agaricomycetes	Fungi	occupancy	2021	Natura2000	2	2
Bivalvia	Animalia	occupancy	2021	Natura2000	2	13
Bryopsida	Plantae	observations	2021	Belgium	2	2
Bryopsida	Plantae	observations	2021	Natura2000	2	2
Bryopsida	Plantae	occupancy	2021	Belgium	2	2
Clitellata	Animalia	observations	2021	Natura2000	2	6
Demospongiae	Animalia	occupancy	2021	Natura2000	2	2
Diplopoda	Animalia	observations	2021	Natura2000	2	3
Hydrozoa	Animalia	occupancy	2021	Natura2000	2	2
Phaeophyceae	Chromista	occupancy	2021	Natura2000	2	2
Ustilaginomycetes	Fungi	occupancy	2021	Natura2000	2	2
Agaricomycetes	Fungi	observations	2021	Belgium	1	2
Agaricomycetes	Fungi	observations	2021	Natura2000	1	2
Amphibia	Animalia	occupancy	2021	Belgium	1	11
Anthozoa	Animalia	occupancy	2021	Natura2000	1	1
Chilopoda	Animalia	observations	2021	Belgium	1	1
Chilopoda	Animalia	observations	2021	Natura2000	1	1
Chilopoda	Animalia	occupancy	2021	Belgium	1	1
Chilopoda	Animalia	occupancy	2021	Natura2000	1	1
Copepoda	Animalia	occupancy	2021	Natura2000	1	1
Demospongiae	Animalia	observations	2021	Natura2000	1	2
Diplopoda	Animalia	observations	2021	Belgium	1	3
Diplopoda	Animalia	occupancy	2021	Belgium	1	3
Ginkgoopsida	Plantae	observations	2021	Belgium	1	1
Ginkgoopsida	Plantae	observations	2021	Natura2000	1	1
Ginkgoopsida	Plantae	occupancy	2021	Belgium	1	1
Ginkgoopsida	Plantae	occupancy	2021	Natura2000	1	1
Gnetopsida	Plantae	occupancy	2021	Natura2000	1	1
Gymnolaemata	Animalia	observations	2021	Belgium	1	3
Gymnolaemata	Animalia	observations	2021	Natura2000	1	3
Gymnolaemata	Animalia	occupancy	2021	Belgium	1	3
Hydrozoa	Animalia	observations	2021	Natura2000	1	2
Jungermanniopsida	Plantae	observations	2021	Belgium	1	1
Jungermanniopsida	Plantae	observations	2021	Natura2000	1	1
Jungermanniopsida	Plantae	occupancy	2021	Belgium	1	1
Leotiomycetes	Fungi	occupancy	2021	Natura2000	1	1
Maxillopoda	Animalia	occupancy	2021	Natura2000	1	1
Monogenea	Animalia	observations	2021	Natura2000	1	1
Monogenea	Animalia	occupancy	2021	Natura2000	1	1
Phylactolaemata	Animalia	occupancy	2021	Natura2000	1	1
Polychaeta	Animalia	observations	2021	Natura2000	1	4
Tentaculata	Animalia	observations	2021	Belgium	1	1
Tentaculata	Animalia	observations	2021	Natura2000	1	1
Tentaculata	Animalia	occupancy	2021	Belgium	1	1
Tentaculata	Animalia	occupancy	2021	Natura2000	1	1
Ustilaginomycetes	Fungi	observations	2021	Belgium	1	2
Ustilaginomycetes	Fungi	observations	2021	Natura2000	1	2
Ustilaginomycetes	Fungi	occupancy	2021	Belgium	1	2
	Animalia	observations	2021	Belgium	1	25
	Animalia	occupancy	2021	Belgium	1	25
Agaricomycetes	Fungi	occupancy	2021	Belgium	0	2
Amphibia	Animalia	observations	2021	Belgium	0	11
Anthozoa	Animalia	observations	2021	Belgium	0	1
Anthozoa	Animalia	observations	2021	Natura2000	0	1
Anthozoa	Animalia	occupancy	2021	Belgium	0	1
Ascidiacea	Animalia	observations	2021	Belgium	0	4
Ascidiacea	Animalia	occupancy	2021	Belgium	0	4
Branchiopoda	Animalia	observations	2021	Belgium	0	1
Branchiopoda	Animalia	observations	2021	Natura2000	0	1
Branchiopoda	Animalia	occupancy	2021	Belgium	0	1
Branchiopoda	Animalia	occupancy	2021	Natura2000	0	1
Bryopsida	Plantae	occupancy	2021	Natura2000	0	2
Clitellata	Animalia	observations	2021	Belgium	0	6
Clitellata	Animalia	occupancy	2021	Belgium	0	6
Copepoda	Animalia	observations	2021	Belgium	0	1
Copepoda	Animalia	observations	2021	Natura2000	0	1
Copepoda	Animalia	occupancy	2021	Belgium	0	1
Demospongiae	Animalia	observations	2021	Belgium	0	2
Demospongiae	Animalia	occupancy	2021	Belgium	0	2
Gnetopsida	Plantae	observations	2021	Belgium	0	1
Gnetopsida	Plantae	observations	2021	Natura2000	0	1
Gnetopsida	Plantae	occupancy	2021	Belgium	0	1
Hydrozoa	Animalia	observations	2021	Belgium	0	2
Hydrozoa	Animalia	occupancy	2021	Belgium	0	2
Jungermanniopsida	Plantae	occupancy	2021	Natura2000	0	1
Leotiomycetes	Fungi	observations	2021	Belgium	0	1
Leotiomycetes	Fungi	observations	2021	Natura2000	0	1
Leotiomycetes	Fungi	occupancy	2021	Belgium	0	1
Maxillopoda	Animalia	observations	2021	Belgium	0	1
Maxillopoda	Animalia	observations	2021	Natura2000	0	1
Maxillopoda	Animalia	occupancy	2021	Belgium	0	1
Monogenea	Animalia	observations	2021	Belgium	0	1
Monogenea	Animalia	occupancy	2021	Belgium	0	1
Phaeophyceae	Chromista	observations	2021	Belgium	0	2
Phaeophyceae	Chromista	observations	2021	Natura2000	0	2
Phaeophyceae	Chromista	occupancy	2021	Belgium	0	2
Phylactolaemata	Animalia	observations	2021	Belgium	0	1
Phylactolaemata	Animalia	observations	2021	Natura2000	0	1
Phylactolaemata	Animalia	occupancy	2021	Belgium	0	1
Polychaeta	Animalia	observations	2021	Belgium	0	4
Polychaeta	Animalia	occupancy	2021	Belgium	0	4
Pucciniomycetes	Fungi	observations	2021	Belgium	0	6
Pucciniomycetes	Fungi	occupancy	2021	Belgium	0	6
Magnoliopsida	Plantae	observations	2022	Natura2000	368	901
Magnoliopsida	Plantae	occupancy	2022	Natura2000	349	901
Magnoliopsida	Plantae	observations	2022	Belgium	166	901
Magnoliopsida	Plantae	occupancy	2022	Belgium	130	901
Insecta	Animalia	observations	2022	Natura2000	98	195
Insecta	Animalia	occupancy	2022	Natura2000	97	195
Liliopsida	Plantae	occupancy	2022	Natura2000	87	208
Aves	Animalia	observations	2022	Natura2000	74	225
Liliopsida	Plantae	observations	2022	Natura2000	73	208
Aves	Animalia	occupancy	2022	Natura2000	70	225
Insecta	Animalia	observations	2022	Belgium	46	195
Liliopsida	Plantae	observations	2022	Belgium	40	208
Insecta	Animalia	occupancy	2022	Belgium	39	195
Aves	Animalia	observations	2022	Belgium	36	225
Liliopsida	Plantae	occupancy	2022	Belgium	30	208
Aves	Animalia	occupancy	2022	Belgium	27	225
	Animalia	occupancy	2022	Natura2000	25	25
Arachnida	Animalia	occupancy	2022	Natura2000	19	28
Squamata	Animalia	occupancy	2022	Natura2000	14	16
Arachnida	Animalia	observations	2022	Natura2000	13	28
Mammalia	Animalia	occupancy	2022	Natura2000	13	31
Gastropoda	Animalia	occupancy	2022	Natura2000	10	21
Malacostraca	Animalia	observations	2022	Natura2000	10	32
Malacostraca	Animalia	occupancy	2022	Natura2000	10	32
Polypodiopsida	Plantae	observations	2022	Natura2000	10	20
Amphibia	Animalia	occupancy	2022	Natura2000	9	11
Arachnida	Animalia	observations	2022	Belgium	9	28
Gastropoda	Animalia	observations	2022	Natura2000	9	21
Mammalia	Animalia	observations	2022	Natura2000	9	31
Pinopsida	Plantae	observations	2022	Natura2000	9	35
Pinopsida	Plantae	occupancy	2022	Belgium	9	35
Polypodiopsida	Plantae	occupancy	2022	Natura2000	9	20
Arachnida	Animalia	occupancy	2022	Belgium	8	28
Pinopsida	Plantae	observations	2022	Belgium	8	35
Malacostraca	Animalia	observations	2022	Belgium	7	32
Polypodiopsida	Plantae	observations	2022	Belgium	7	20
	Animalia	observations	2022	Natura2000	7	25
Amphibia	Animalia	observations	2022	Natura2000	6	11
Gastropoda	Animalia	observations	2022	Belgium	6	21
Gastropoda	Animalia	occupancy	2022	Belgium	6	21
Pinopsida	Plantae	occupancy	2022	Natura2000	6	35
Polypodiopsida	Plantae	occupancy	2022	Belgium	6	20
Bivalvia	Animalia	observations	2022	Natura2000	5	13
Pucciniomycetes	Fungi	occupancy	2022	Natura2000	5	6
Squamata	Animalia	observations	2022	Natura2000	5	16
Testudines	Animalia	occupancy	2022	Natura2000	5	15
Bivalvia	Animalia	observations	2022	Belgium	4	13
Bivalvia	Animalia	occupancy	2022	Belgium	4	13
Testudines	Animalia	observations	2022	Natura2000	4	15
Ascidiacea	Animalia	observations	2022	Natura2000	3	4
Ascidiacea	Animalia	occupancy	2022	Natura2000	3	4
Clitellata	Animalia	occupancy	2022	Natura2000	3	6
Diplopoda	Animalia	occupancy	2022	Natura2000	3	3
Mammalia	Animalia	observations	2022	Belgium	3	31
Mammalia	Animalia	occupancy	2022	Belgium	3	31
Polychaeta	Animalia	occupancy	2022	Natura2000	3	4
Pucciniomycetes	Fungi	observations	2022	Natura2000	3	6
Agaricomycetes	Fungi	occupancy	2022	Natura2000	2	2
Amphibia	Animalia	observations	2022	Belgium	2	11
Amphibia	Animalia	occupancy	2022	Belgium	2	11
Bryopsida	Plantae	observations	2022	Belgium	2	2
Bryopsida	Plantae	observations	2022	Natura2000	2	2
Bryopsida	Plantae	occupancy	2022	Belgium	2	2
Clitellata	Animalia	observations	2022	Natura2000	2	6
Demospongiae	Animalia	occupancy	2022	Natura2000	2	2
Diplopoda	Animalia	observations	2022	Natura2000	2	3
Gymnolaemata	Animalia	observations	2022	Natura2000	2	3
Gymnolaemata	Animalia	occupancy	2022	Natura2000	2	3
Hydrozoa	Animalia	occupancy	2022	Natura2000	2	2
Malacostraca	Animalia	occupancy	2022	Belgium	2	32
Phaeophyceae	Chromista	occupancy	2022	Natura2000	2	2
Polychaeta	Animalia	observations	2022	Natura2000	2	4
Squamata	Animalia	observations	2022	Belgium	2	16
Squamata	Animalia	occupancy	2022	Belgium	2	16
Ustilaginomycetes	Fungi	occupancy	2022	Natura2000	2	2
	Animalia	observations	2022	Belgium	2	25
	Animalia	occupancy	2022	Belgium	2	25
Agaricomycetes	Fungi	observations	2022	Natura2000	1	2
Anthozoa	Animalia	occupancy	2022	Natura2000	1	1
Bivalvia	Animalia	occupancy	2022	Natura2000	1	13
Chilopoda	Animalia	observations	2022	Belgium	1	1
Chilopoda	Animalia	observations	2022	Natura2000	1	1
Chilopoda	Animalia	occupancy	2022	Belgium	1	1
Chilopoda	Animalia	occupancy	2022	Natura2000	1	1
Copepoda	Animalia	occupancy	2022	Natura2000	1	1
Demospongiae	Animalia	observations	2022	Natura2000	1	2
Diplopoda	Animalia	observations	2022	Belgium	1	3
Diplopoda	Animalia	occupancy	2022	Belgium	1	3
Ginkgoopsida	Plantae	observations	2022	Belgium	1	1
Ginkgoopsida	Plantae	occupancy	2022	Belgium	1	1
Ginkgoopsida	Plantae	occupancy	2022	Natura2000	1	1
Gnetopsida	Plantae	occupancy	2022	Natura2000	1	1
Hydrozoa	Animalia	observations	2022	Natura2000	1	2
Jungermanniopsida	Plantae	observations	2022	Belgium	1	1
Jungermanniopsida	Plantae	observations	2022	Natura2000	1	1
Jungermanniopsida	Plantae	occupancy	2022	Belgium	1	1
Leotiomycetes	Fungi	occupancy	2022	Natura2000	1	1
Maxillopoda	Animalia	occupancy	2022	Natura2000	1	1
Monogenea	Animalia	observations	2022	Natura2000	1	1
Monogenea	Animalia	occupancy	2022	Natura2000	1	1
Phylactolaemata	Animalia	occupancy	2022	Natura2000	1	1
Pucciniomycetes	Fungi	observations	2022	Belgium	1	6
Pucciniomycetes	Fungi	occupancy	2022	Belgium	1	6
Tentaculata	Animalia	occupancy	2022	Natura2000	1	1
Ustilaginomycetes	Fungi	observations	2022	Natura2000	1	2
Agaricomycetes	Fungi	observations	2022	Belgium	0	2
Agaricomycetes	Fungi	occupancy	2022	Belgium	0	2
Anthozoa	Animalia	observations	2022	Belgium	0	1
Anthozoa	Animalia	observations	2022	Natura2000	0	1
Anthozoa	Animalia	occupancy	2022	Belgium	0	1
Ascidiacea	Animalia	observations	2022	Belgium	0	4
Ascidiacea	Animalia	occupancy	2022	Belgium	0	4
Branchiopoda	Animalia	observations	2022	Belgium	0	1
Branchiopoda	Animalia	observations	2022	Natura2000	0	1
Branchiopoda	Animalia	occupancy	2022	Belgium	0	1
Branchiopoda	Animalia	occupancy	2022	Natura2000	0	1
Bryopsida	Plantae	occupancy	2022	Natura2000	0	2
Clitellata	Animalia	observations	2022	Belgium	0	6
Clitellata	Animalia	occupancy	2022	Belgium	0	6
Copepoda	Animalia	observations	2022	Belgium	0	1
Copepoda	Animalia	observations	2022	Natura2000	0	1
Copepoda	Animalia	occupancy	2022	Belgium	0	1
Demospongiae	Animalia	observations	2022	Belgium	0	2
Demospongiae	Animalia	occupancy	2022	Belgium	0	2
Ginkgoopsida	Plantae	observations	2022	Natura2000	0	1
Gnetopsida	Plantae	observations	2022	Belgium	0	1
Gnetopsida	Plantae	observations	2022	Natura2000	0	1
Gnetopsida	Plantae	occupancy	2022	Belgium	0	1
Gymnolaemata	Animalia	observations	2022	Belgium	0	3
Gymnolaemata	Animalia	occupancy	2022	Belgium	0	3
Hydrozoa	Animalia	observations	2022	Belgium	0	2
Hydrozoa	Animalia	occupancy	2022	Belgium	0	2
Jungermanniopsida	Plantae	occupancy	2022	Natura2000	0	1
Leotiomycetes	Fungi	observations	2022	Belgium	0	1
Leotiomycetes	Fungi	observations	2022	Natura2000	0	1
Leotiomycetes	Fungi	occupancy	2022	Belgium	0	1
Maxillopoda	Animalia	observations	2022	Belgium	0	1
Maxillopoda	Animalia	observations	2022	Natura2000	0	1
Maxillopoda	Animalia	occupancy	2022	Belgium	0	1
Monogenea	Animalia	observations	2022	Belgium	0	1
Monogenea	Animalia	occupancy	2022	Belgium	0	1
Phaeophyceae	Chromista	observations	2022	Belgium	0	2
Phaeophyceae	Chromista	observations	2022	Natura2000	0	2
Phaeophyceae	Chromista	occupancy	2022	Belgium	0	2
Phylactolaemata	Animalia	observations	2022	Belgium	0	1
Phylactolaemata	Animalia	observations	2022	Natura2000	0	1
Phylactolaemata	Animalia	occupancy	2022	Belgium	0	1
Polychaeta	Animalia	observations	2022	Belgium	0	4
Polychaeta	Animalia	occupancy	2022	Belgium	0	4
Tentaculata	Animalia	observations	2022	Belgium	0	1
Tentaculata	Animalia	observations	2022	Natura2000	0	1
Tentaculata	Animalia	occupancy	2022	Belgium	0	1
Testudines	Animalia	observations	2022	Belgium	0	15
Testudines	Animalia	occupancy	2022	Belgium	0	15
Ustilaginomycetes	Fungi	observations	2022	Belgium	0	2
Ustilaginomycetes	Fungi	occupancy	2022	Belgium	0	2
