taxonKey	canonicalName	kingdom	class	year_2022_em_status_occupancy_Brussels	year_2022_em_status_occs_Brussels	year_2021_em_status_occupancy_Brussels	year_2021_em_status_occs_Brussels	year_2020_em_status_occupancy_Brussels	year_2020_em_status_occs_Brussels	mean_growth	kingdomKey	classKey
2037925	Orientus ishidae	Animalia	Insecta	3	3	3	3	3	3	1.1614034597425809	1	216
1311477	Vespa velutina	Animalia	Insecta	3	3	3	3	3	3		1	216
2153287	Zoropsis spinimana	Animalia	Arachnida	3	3	3	3	3	3		1	367
3012089	Sorbaria sorbifolia	Plantae	Magnoliopsida	3	3	3	3	3	3		6	220
3054117	Aubrieta deltoidea	Plantae	Magnoliopsida	3	3	3	3	3	3		6	220
7127810	Cyclamen hederifolium	Plantae	Magnoliopsida	3	3	3	3	3	3		6	220
8313153	Quercus palustris	Plantae	Magnoliopsida	3	3	3	3	3	3		6	220
3067119	Euphorbia maculata	Plantae	Magnoliopsida	3	3	3	3	2	2		6	220
2891783	Impatiens balfourii	Plantae	Magnoliopsida	3	3	3	3	1	1		6	220
3084015	Phytolacca americana	Plantae	Magnoliopsida	3	3	3	3	1	1		6	220
5369784	Geum macrophyllum	Plantae	Magnoliopsida	3	3	3	3	1	1		6	220
7437751	Urtica membranacea	Plantae	Magnoliopsida	3	3	3	3	1	1		6	220
7763534	Lauritrioza alacris	Animalia	Insecta	3	3	3	3	1	1		1	216
1718308	Acheta domesticus	Animalia	Insecta	3	3	3	3	0	0		1	216
2493633	Taeniopygia guttata	Animalia	Aves	3	3	3	3	0	0		1	212
2498344	Cygnus atratus	Animalia	Aves	3	3	3	3	0	0		1	212
3040184	Populus balsamifera	Plantae	Magnoliopsida	3	3	3	3	0	0		6	220
3152861	Liriodendron tulipifera	Plantae	Magnoliopsida	3	3	3	3	0	0		6	220
5372655	Salix eleagnos	Plantae	Magnoliopsida	3	3	3	3	0	0		6	220
8946295	Pontastacus leptodactylus	Animalia	Malacostraca	3	3	3	3	0	0		1	229
2164198	Cheiracanthium mildei	Animalia	Arachnida	3	3	3	2	3	3		1	367
3147168	Erigeron karvinskianus	Plantae	Magnoliopsida	3	3	3	2	3	3		6	220
3098951	Cosmos sulphureus	Plantae	Magnoliopsida	3	3	3	2	3	2		6	220
6362904	Populus trichocarpa	Plantae	Magnoliopsida	3	3	3	2	0	0		6	220
2479798	Melopsittacus undulatus	Animalia	Aves	3	3	2	3	2	3	1.2121625658877426	1	212
1997215	Blattella germanica	Animalia	Insecta	3	3	2	2	3	3		1	216
3003244	Rosa multiflora Thunb.	Plantae	Magnoliopsida	3	3	2	2	3	3		6	220
3084022	Phytolacca acinosa	Plantae	Magnoliopsida	3	3	2	2	3	3		6	220
7127354	Cyclamen coum	Plantae	Magnoliopsida	3	3	2	2	3	3		6	220
2880580	Quercus cerris	Plantae	Magnoliopsida	3	3	2	2	2	2		6	220
4486243	Oxycarenus lavaterae	Animalia	Insecta	3	3	2	2	2	2		1	216
8909595	Faxonius limosus	Animalia	Malacostraca	3	3	2	2	1	1		1	229
2888867	Rheum rhabarbarum	Plantae	Magnoliopsida	3	3	1	1	3	3		6	220
2928761	Nicotiana alata	Plantae	Magnoliopsida	3	3	1	1	3	3		6	220
3039194	Parthenocissus quinquefolia	Plantae	Magnoliopsida	3	3	1	1	3	3		6	220
3067353	Euphorbia characias	Plantae	Magnoliopsida	3	3	1	1	3	3		6	220
5284809	Pinus nigra	Plantae	Pinopsida	3	3	1	1	3	3		6	194
1749449	Cameraria ohridella	Animalia	Insecta	3	3	1	1	2	2		1	216
2091932	Pulvinaria hydrangeae	Animalia	Insecta	3	3	1	1	1	1		1	216
3033896	Berberis thunbergii	Plantae	Magnoliopsida	3	3	1	1	1	1		6	220
3169137	Euonymus fortunei	Plantae	Magnoliopsida	3	3	1	1	1	1		6	220
5328909	Sagittaria latifolia	Plantae	Liliopsida	3	3	1	1	1	1		6	196
5353590	Cercis siliquastrum	Plantae	Magnoliopsida	3	3	1	1	1	1		6	220
5584611	Silene chalcedonica	Plantae	Magnoliopsida	3	3	1	1	1	1		6	220
8362005	Sasa palmata	Plantae	Liliopsida	3	3	1	1	1	1		6	196
2984532	Zelkova serrata	Plantae	Magnoliopsida	3	3	0	0	1	1		6	220
2020686	Stephanitis takeyai	Animalia	Insecta	3	3	0	0	0	0		1	216
2479964	Poicephalus senegalus	Animalia	Aves	3	3	0	0	0	0		1	212
2685361	Abies grandis	Plantae	Pinopsida	3	3	0	0	0	0		6	194
2888706	Kolkwitzia amabilis	Plantae	Magnoliopsida	3	3	0	0	0	0		6	220
3033965	Akebia quinata	Plantae	Magnoliopsida	3	3	0	0	0	0		6	220
3085357	Saponaria ocymoides	Plantae	Magnoliopsida	3	3	0	0	0	0		6	220
3088310	Petasites japonicus	Plantae	Magnoliopsida	3	3	0	0	0	0		6	220
5285565	Pinus pinaster	Plantae	Pinopsida	3	3	0	0	0	0		6	194
5332305	Ostrya carpinifolia	Plantae	Magnoliopsida	3	3	0	0	0	0		6	220
5334240	Lonicera japonica	Plantae	Magnoliopsida	3	3	0	0	0	0		6	220
7358677	Populus nigra italica	Plantae	Magnoliopsida	3	3	0	0	0	0		6	220
5341201	Anchusa officinalis	Plantae	Magnoliopsida	3	2	3	3	3	3		6	220
2498384	Callonetta leucophrys	Animalia	Aves	3	2	3	3	1	1		1	212
5284982	Pinus strobus	Plantae	Pinopsida	3	2	3	3	0	0		6	194
2888585	Viburnum tinus	Plantae	Magnoliopsida	3	2	3	2	3	3		6	220
2857017	Allium paradoxum	Plantae	Liliopsida	3	2	3	2	3	2		6	196
7540164	Arion vulgaris	Animalia	Gastropoda	3	2	3	2	2	3		1	225
2439261	Rattus norvegicus	Animalia	Mammalia	3	2	2	2	2	2	1.0417589352683196	1	359
8599762	Aproceros leucopoda	Animalia	Insecta	3	2	1	2	1	1		1	216
5218786	Procyon lotor	Animalia	Mammalia	3	2	1	1	1	1		1	359
2650829	Cyrtomium falcatum	Plantae	Polypodiopsida	3	2	0	0	1	1		6	7228684
4484176	Cacopsylla fulguralis	Animalia	Insecta	3	2	0	0	1	1		1	216
3034015	Laurus nobilis	Plantae	Magnoliopsida	3	2	0	0	0	0		6	220
6098843	Ctenolepisma longicaudatum	Animalia	Insecta	3	1	3	1	3	1	0.9702025022725039	1	216
3189866	Acer negundo	Plantae	Magnoliopsida	3	1	3	1	3	1	0.9672669218886646	6	220
7346102	Erythranthe guttata	Plantae	Magnoliopsida	3	1	3	1	3	1	0.852691191614837	6	220
3021496	Prunus laurocerasus	Plantae	Magnoliopsida	3	1	3	1	3	1	0.7893062261412455	6	220
4201607	Phedimus spurius	Plantae	Magnoliopsida	3	1	3	1	2	1	0.9699096549282987	6	220
3026294	Cotoneaster bullatus	Plantae	Magnoliopsida	3	1	3	1	2	1	0.8992776075549951	6	220
3028528	Alchemilla mollis	Plantae	Magnoliopsida	3	1	3	1	2	1	0.8965224875256805	6	220
8080743	Scilla siberica	Plantae	Liliopsida	3	1	3	1	2	1	0.7207404914537188	6	196
2020655	Corythucha ciliata	Animalia	Insecta	3	1	3	1	2	1	0.4656140235975427	1	216
3040185	Populus canescens	Plantae	Magnoliopsida	3	1	3	1	0	1	0.9855035126728554	6	220
3128225	Centaurea nigra	Plantae	Magnoliopsida	3	1	2	1	3	1	0.9311960325068444	6	220
2479977	Nymphicus hollandicus	Animalia	Aves	3	1	1	1	2	1	0.9110721018443677	1	212
2988188	Pyracantha coccinea	Plantae	Magnoliopsida	3	1	1	1	2	1	0.786624821869174	6	220
2041682	Graphocephala fennahi	Animalia	Insecta	2	3	3	3	3	3	1.239314647936157	1	216
1047536	Leptinotarsa decemlineata	Animalia	Insecta	2	3	3	3	3	3	1.2081317888527174	1	216
1421095	Ctenolepisma lineata	Animalia	Insecta	2	3	3	3	3	3		1	216
8288647	Pterocarya fraxinifolia	Plantae	Magnoliopsida	2	3	3	3	2	3		6	220
2889934	Tropaeolum majus	Plantae	Magnoliopsida	2	3	2	3	3	3	1.23684213291324	6	220
7828157	Petroselinum crispum	Plantae	Magnoliopsida	2	3	2	3	2	3	1.0213212420125513	6	220
5289686	Setaria verticillata	Plantae	Liliopsida	2	3	2	3	1	3	1.012218377197943	6	196
1346919	Isodontia mexicana	Animalia	Insecta	2	3	2	2	3	3		1	216
3152583	Hibiscus syriacus	Plantae	Magnoliopsida	2	3	2	2	3	3		6	220
4483971	Populicerus albicans	Animalia	Insecta	2	3	2	2	0	0		1	216
3666776	Oenothera ersteinensis	Plantae	Magnoliopsida	2	3	1	1	1	1		6	220
2227300	Procambarus clarkii	Animalia	Malacostraca	2	3	0	0	1	1		1	229
2295442	Limacus flavus	Animalia	Gastropoda	2	2	3	3	3	3		1	225
2867614	Lemna minuta	Plantae	Liliopsida	2	2	3	3	3	3		6	196
3033077	Aucuba japonica	Plantae	Magnoliopsida	2	2	3	3	3	3		6	220
3189837	Acer saccharinum	Plantae	Magnoliopsida	2	2	3	3	3	3		6	220
4565039	Hygromia cinctella	Animalia	Gastropoda	2	2	3	3	3	3		1	225
5410151	Campanula poscharskyana	Plantae	Magnoliopsida	2	2	3	3	3	3		6	220
5123474	Anthophila nemorana	Animalia	Insecta	2	2	3	3	3	2		1	216
2747564	Crocus tommasinianus	Plantae	Liliopsida	2	2	3	3	2	2		6	196
2891707	Oxalis debilis	Plantae	Magnoliopsida	2	2	3	3	2	2		6	220
8745918	Deroceras invadens	Animalia	Gastropoda	2	2	3	3	2	2		1	225
2986111	Ribes aureum	Plantae	Magnoliopsida	2	2	3	3	1	1		6	220
1152186	Callidiellum rufipennis	Animalia	Insecta	2	2	3	2	3	2		1	216
2443002	Trachemys scripta	Animalia	Testudines	2	2	3	2	2	2		1	11418114
2888625	Viburnum rhytidophyllum	Plantae	Magnoliopsida	2	2	3	2	1	1		6	220
3026074	Cotoneaster salicifolius	Plantae	Magnoliopsida	2	2	2	3	3	3		6	220
1421091	Lepisma saccharinum	Animalia	Insecta	2	2	2	2	3	3		1	216
2683866	Chamaecyparis lawsoniana	Plantae	Pinopsida	2	2	2	2	3	3		6	194
2995149	Rubus phoenicolasius	Plantae	Magnoliopsida	2	2	2	2	3	3		6	220
3098912	Cosmos bipinnatus	Plantae	Magnoliopsida	2	2	2	2	3	3		6	220
3147018	Erigeron floribundus	Plantae	Magnoliopsida	2	2	2	2	3	3		6	220
5284884	Picea abies	Plantae	Pinopsida	2	2	2	2	3	3		6	194
5421180	Koelreuteria paniculata	Plantae	Magnoliopsida	2	2	2	2	3	3		6	220
2426661	Pelophylax ridibundus	Animalia	Amphibia	2	2	2	2	2	2		1	131
2435035	Felis catus	Animalia	Mammalia	2	2	2	2	2	2		1	359
2650827	Cyrtomium fortunei	Plantae	Polypodiopsida	2	2	2	2	2	2		6	7228684
3026162	Cotoneaster franchetii	Plantae	Magnoliopsida	2	2	2	2	2	2		6	220
5285637	Pinus sylvestris	Plantae	Pinopsida	2	2	2	2	2	2		6	194
7291264	Bistorta amplexicaulis	Plantae	Magnoliopsida	2	2	2	2	2	2		6	220
3133887	Coreopsis verticillata	Plantae	Magnoliopsida	2	2	2	2	1	1		6	220
3690997	Cardamine occulta	Plantae	Magnoliopsida	2	2	2	2	1	1		6	220
4567717	Boettgerilla pallens	Animalia	Gastropoda	2	2	2	2	1	1		1	225
4990176	Rhyzobius forestieri	Animalia	Insecta	2	2	2	2	1	1		1	216
7315286	Fumaria muralis	Plantae	Magnoliopsida	2	2	2	2	1	1		6	220
2876049	Corylus maxima	Plantae	Magnoliopsida	2	2	2	2	0	0		6	220
7332415	Chaenorhinum origanifolium	Plantae	Magnoliopsida	2	2	2	2	0	0		6	220
7332416	Chaenorhinum origanifolium origanifolium	Plantae	Magnoliopsida	2	2	2	2	0	0		6	220
2494303	Serinus canaria	Animalia	Aves	2	2	1	1	3	3		1	212
2686212	Larix decidua	Plantae	Pinopsida	2	2	1	1	3	3		6	194
2747567	Crocus vernus	Plantae	Liliopsida	2	2	1	1	3	3		6	196
5415012	Linaria purpurea	Plantae	Magnoliopsida	2	2	1	1	3	3		6	220
2985965	Deutzia scabra	Plantae	Magnoliopsida	2	2	1	1	1	1		6	220
3026092	Cotoneaster hjelmqvistii	Plantae	Magnoliopsida	2	2	1	1	1	1		6	220
3190522	Cotinus coggygria	Plantae	Magnoliopsida	2	2	1	1	1	1		6	220
4497054	Andricus lignicolus	Animalia	Insecta	2	2	1	1	1	1		1	216
5372639	Salix babylonica	Plantae	Magnoliopsida	2	2	1	1	1	1		6	220
5373124	Malcolmia maritima (L.) W.T.Aiton	Plantae	Magnoliopsida	2	2	1	1	1	1		6	220
9508460	Mareca sibilatrix	Animalia	Aves	2	2	1	1	1	1		1	212
2772094	Muscari botryoides	Plantae	Liliopsida	2	2	0	0	1	1		6	196
10786206	Rhaphiolepis bibas	Plantae	Magnoliopsida	2	2	0	0	1	1		6	220
2479311	Platycercus elegans	Animalia	Aves	2	2	0	0	0	0		1	212
2685484	Abies alba	Plantae	Pinopsida	2	2	0	0	0	0		6	194
2772174	Muscari armeniacum	Plantae	Liliopsida	2	2	0	0	0	0		6	196
5587240	Silene vulgaris vulgaris	Plantae	Magnoliopsida	2	2	0	0	0	0		6	220
5367294	Potentilla recta	Plantae	Magnoliopsida	2	1	3	1	3	1	0.93409164148631	6	220
2436940	Oryctolagus cuniculus	Animalia	Mammalia	2	1	3	1	2	1	0.9204063057346168	1	359
3042845	Brassica oleracea	Plantae	Magnoliopsida	2	1	3	1	2	1	0.8380868449992452	6	220
2890541	Geranium purpureum	Plantae	Magnoliopsida	2	1	3	1	1	1	0.8698813783277565	6	220
5598915	Lonicera pileata	Plantae	Magnoliopsida	2	1	3	1	1	1	0.8175573321180076	6	220
3054357	Juglans nigra	Plantae	Magnoliopsida	2	1	2	1	3	1	0.6856080085409162	6	220
5362573	Pyrus communis	Plantae	Magnoliopsida	2	1	2	1	2	1	0.9635425091031928	6	220
5365705	Potentilla intermedia	Plantae	Magnoliopsida	2	1	2	1	2	1	0.9520102076778034	6	220
2498387	Aix sponsa	Animalia	Aves	2	1	2	1	2	1	0.7572924691578797	1	212
5281901	Campylopus introflexus	Plantae	Bryopsida	2	1	2	1	1	1	0.6810022261489245	6	327
2888439	Papaver somniferum	Plantae	Magnoliopsida	2	0	3	0	3	0	0.9243597300758843	6	220
3170823	Paulownia tomentosa	Plantae	Magnoliopsida	2	0	3	0	3	0	0.6405766291679973	6	220
5361785	Myriophyllum aquaticum	Plantae	Magnoliopsida	2	0	3	0	2	0	0.6121787168293769	6	220
2876607	Alnus cordata	Plantae	Magnoliopsida	2	0	2	0	3	0	0.7343112511536752	6	220
3602683	Papaver cambricum	Plantae	Magnoliopsida	2	0	2	0	3	0	0.4247697015833408	6	220
2437450	Tamias sibiricus	Animalia	Mammalia	2	0	2	0	2	0	0.6220457351682113	1	359
2996525	Rubus armeniacus	Plantae	Magnoliopsida	2	0	2	0	2	0	0.48363545859942586	6	220
7443846	Dipsacus strigosus	Plantae	Magnoliopsida	2	0	1	0	2	0	0.47880968268776963	6	220
5232452	Branta hutchinsii	Animalia	Aves	1	3	2	3	1	3	1.7557040694265447	1	212
2498034	Anser cygnoides	Animalia	Aves	1	3	2	3	1	3	1.0626397886447254	1	212
4989904	Harmonia axyridis	Animalia	Insecta	1	3	1	3	1	3	1.2363290970048402	1	216
2479226	Psittacula krameri	Animalia	Aves	1	3	1	3	1	3	1.1644053053575345	1	212
3021730	Prunus cerasifera	Plantae	Magnoliopsida	1	3	1	3	1	3	1.108761358322385	6	220
3190653	Ailanthus altissima	Plantae	Magnoliopsida	1	3	1	3	1	3	1.1030278899308916	6	220
2498252	Alopochen aegyptiaca	Animalia	Aves	1	3	1	3	1	3	1.0855591239802087	1	212
5330661	Arum italicum	Plantae	Liliopsida	1	3	1	3	1	3	1.0620593893558978	6	196
8200663	Cymbalaria muralis	Plantae	Magnoliopsida	1	3	1	3	1	3	1.0449447602430062	6	220
5229055	Psittacula eupatria	Animalia	Aves	1	3	1	3	1	3	1.0417551320892355	1	212
6109535	Trifolium hybridum	Plantae	Magnoliopsida	1	3	1	3	1	3	1.0412357522365239	6	220
3189815	Aesculus hippocastanum	Plantae	Magnoliopsida	1	3	1	3	1	3	1.0121657281355578	6	220
3040233	Populus alba	Plantae	Magnoliopsida	1	3	1	3	1	3	1.0108625915757812	6	220
5232437	Branta canadensis	Animalia	Aves	1	2	1	2	1	2	1.0187691876553826	1	212
2294284	Otala lactea	Animalia	Gastropoda	1	1	3	3	3	3		1	225
2722515	Carex morrowii	Plantae	Liliopsida	1	1	3	3	3	3		6	196
2855398	Galanthus elwesii	Plantae	Liliopsida	1	1	3	3	3	3		6	196
2873877	Linum austriacum	Plantae	Magnoliopsida	1	1	3	3	3	3		6	220
3664589	Oenothera lindheimeri	Plantae	Magnoliopsida	1	1	3	3	3	3		6	220
8149923	Prunus persica	Plantae	Magnoliopsida	1	1	3	3	3	3		6	220
10902460	Salvia rosmarinus	Plantae	Magnoliopsida	1	1	3	3	3	3		6	220
1622658	Rhagoletis completa	Animalia	Insecta	1	1	3	3	3	1		1	216
4067302	Symphytum grandiflorum	Plantae	Magnoliopsida	1	1	3	3	2	2		6	220
2440946	Muntiacus reevesi	Animalia	Mammalia	1	1	3	3	1	1		1	359
2959443	Gleditsia triacanthos	Plantae	Magnoliopsida	1	1	3	3	1	1		6	220
3036892	Aralia elata	Plantae	Magnoliopsida	1	1	3	3	1	1		6	220
3663237	Cornus sanguinea australis	Plantae	Magnoliopsida	1	1	3	3	1	1		6	220
8149049	Wisteria sinensis	Plantae	Magnoliopsida	1	1	3	3	1	1		6	220
2426640	Pelophylax bedriagae	Animalia	Amphibia	1	1	3	3	0	0		1	131
2781103	Hemerocallis lilioasphodelus	Plantae	Liliopsida	1	1	3	3	0	0		6	196
5341497	Nepeta racemosa	Plantae	Magnoliopsida	1	1	3	3	0	0		6	220
5421039	Ludwigia grandiflora	Plantae	Magnoliopsida	1	1	3	3	0	0		6	220
7319302	Dryopteris cycadina	Plantae	Polypodiopsida	1	1	3	3	0	0		6	7228684
2443079	Graptemys ouachitensis	Animalia	Testudines	1	1	3	2	3	3		1	11418114
2684191	Taxodium distichum	Plantae	Pinopsida	1	1	3	2	1	1		6	194
2726360	Carex grayi	Plantae	Liliopsida	1	1	3	2	1	1		6	196
2174528	Saitis barbipes	Animalia	Arachnida	1	1	2	3	1	1		1	367
2913169	Galium parisiense	Plantae	Magnoliopsida	1	1	2	3	1	1		6	220
2875968	Corylus colurna	Plantae	Magnoliopsida	1	1	2	2	3	3		6	220
2926992	Salvia hispanica	Plantae	Magnoliopsida	1	1	2	2	3	3		6	220
9228211	Graptemys pseudogeographica	Animalia	Testudines	1	1	2	2	3	3		1	11418114
6157035	Trachemys scripta troostii	Animalia	Testudines	1	1	2	2	2	3		1	11418114
2038171	Opsius stactogalus	Animalia	Insecta	1	1	2	2	2	2		1	216
3033242	Anemone blanda	Plantae	Magnoliopsida	1	1	2	2	2	2		6	220
3152824	Liquidambar styraciflua	Plantae	Magnoliopsida	1	1	2	2	2	2		6	220
3189073	Epilobium brachycarpum	Plantae	Magnoliopsida	1	1	2	2	2	2		6	220
4483961	Viridicerus ustulatus	Animalia	Insecta	1	1	2	2	2	2		1	216
5219858	Ondatra zibethicus	Animalia	Mammalia	1	1	2	2	2	2		1	359
6157026	Trachemys scripta elegans	Animalia	Testudines	1	1	2	2	2	2		1	11418114
9326020	Gallus gallus	Animalia	Aves	1	1	2	2	2	2		1	212
2498035	Anser indicus	Animalia	Aves	1	1	2	2	1	1		1	212
3088488	Tagetes erecta	Plantae	Magnoliopsida	1	1	2	2	1	1		6	220
3797084	Alkekengi officinarum	Plantae	Magnoliopsida	1	1	2	2	1	1		6	220
3172059	Veronica spicata	Plantae	Magnoliopsida	1	1	2	2	0	0		6	220
7400250	Platanus hispanica	Plantae	Magnoliopsida	1	1	2	2	0	0		6	220
3120790	Artemisia verlotiorum	Plantae	Magnoliopsida	1	1	2	1	2	1	0.9473020640825204	6	220
3172615	Catalpa bignonioides	Plantae	Magnoliopsida	1	1	2	1	2	1	0.7181018275100982	6	220
2705090	Panicum miliaceum	Plantae	Liliopsida	1	1	2	1	1	1	0.9320549084883072	6	196
5156102	Leptoglossus occidentalis	Animalia	Insecta	1	1	1	3	1	3	1.0018063771308823	1	216
8909809	Emys orbicularis	Animalia	Testudines	1	1	1	2	1	3		1	11418114
2479544	Agapornis fischeri	Animalia	Aves	1	1	1	1	3	3		1	212
2498167	Anser caerulescens	Animalia	Aves	1	1	1	1	3	3		1	212
2687210	Tsuga heterophylla	Plantae	Pinopsida	1	1	1	1	3	3		6	194
2703041	Arundo donax	Plantae	Liliopsida	1	1	1	1	3	3		6	196
2772666	Hyacinthus orientalis	Plantae	Liliopsida	1	1	1	1	3	3		6	196
2775619	Yucca gloriosa	Plantae	Liliopsida	1	1	1	1	3	3		6	196
2888806	Scabiosa ochroleuca	Plantae	Magnoliopsida	1	1	1	1	3	3		6	220
3000610	Chaenomeles japonica	Plantae	Magnoliopsida	1	1	1	1	3	3		6	220
3067891	Euphorbia prostrata	Plantae	Magnoliopsida	1	1	1	1	3	3		6	220
3152816	Platanus orientalis	Plantae	Magnoliopsida	1	1	1	1	3	3		6	220
4102952	Knautia macedonica	Plantae	Magnoliopsida	1	1	1	1	3	3		6	220
4427283	Anthrenocerus australis	Animalia	Insecta	1	1	1	1	3	3		1	216
8133114	Aster amellus	Plantae	Magnoliopsida	1	1	1	1	3	3		6	220
8168344	Hedera hibernica	Plantae	Magnoliopsida	1	1	1	1	3	3		6	220
5415455	Acanthus mollis	Plantae	Magnoliopsida	1	1	1	1	3	2		6	220
7802465	Nymphaea marliacea	Plantae	Magnoliopsida	1	1	1	1	3	2		6	220
2049661	Adelges abietis	Animalia	Insecta	1	1	1	1	2	2		1	216
2765156	Tradescantia fluminensis	Plantae	Liliopsida	1	1	1	1	2	2		6	196
3039046	Fatsia japonica	Plantae	Magnoliopsida	1	1	1	1	2	2		6	220
