key	nubKey	speciesKey	scientificName	species	kingdom	source_checklist	species_is_alien	remarks
152543132	6157050	9228211	Graptemys pseudogeographica kohnii (Baur, 1890)	Graptemys pseudogeographica	Animalia	Ad hoc checklist of alien species in Belgium	TRUE	
152543136	7190901	9228211	Graptemys pseudogeographica pseudogeographica	Graptemys pseudogeographica	Animalia	Ad hoc checklist of alien species in Belgium	TRUE	
152543139	6157035	2443002	Trachemys scripta troostii (Holbrook, 1836)	Trachemys scripta	Animalia	Ad hoc checklist of alien species in Belgium	TRUE	
152543140	6157026	2443002	Trachemys scripta elegans (Wied, 1838)	Trachemys scripta	Animalia	Ad hoc checklist of alien species in Belgium	TRUE	
152543141	7062200	2443002	Trachemys scripta scripta	Trachemys scripta	Animalia	Ad hoc checklist of alien species in Belgium	TRUE	
152543370	4925890	3189843	Acer tataricum subsp. ginnala (Maxim.) Wesmael	Acer tataricum	Plantae	Manual of the Alien Plants of Belgium	TRUE	
152543418	5544928	5420968	Clarkia purpurea subsp. quadrivulnera (Douglas) F.H.Lewis & M.E.Lewis	Clarkia purpurea	Plantae	Manual of the Alien Plants of Belgium		outdated
152543427	5545159	5420991	Ludwigia peploides subsp. montevidensis (Spreng.) P.H.Raven	Ludwigia peploides	Plantae	Manual of the Alien Plants of Belgium	TRUE	
152543660	7066596	3111797	Zinnia angustifolia var. angustifolia	Zinnia angustifolia	Plantae	Manual of the Alien Plants of Belgium		outdated
152543683	8323119	5391928	Bidens triplinervia var. macrantha Sherff	Bidens triplinervia	Plantae	Manual of the Alien Plants of Belgium		
182134919	4211590	3140436	Lactuca macrophylla subsp. uralensis (Rouy) N.Kilian & Greuter	Lactuca macrophylla	Plantae	Manual of the Alien Plants of Belgium	TRUE	
213215071	7223177	5403605	Crepis sancta subsp. sancta (L.) Bornm.	Crepis sancta	Plantae	Manual of the Alien Plants of Belgium		
152543856	5831060	5403470	Crepis foetida subsp. rhoeadifolia (M.Bieb.) Celak.	Crepis foetida	Plantae	Manual of the Alien Plants of Belgium				
152543956	7223276	3128888	Centaurea solstitialis subsp. solstitialis	Centaurea solstitialis	Plantae	Manual of the Alien Plants of Belgium		
152544039	7222196	3120376	Achillea salicifolia subsp. salicifolia	Achillea salicifolia	Plantae	Manual of the Alien Plants of Belgium		
152544195	9448191	8185959	Carduus nutans subsp. leiophyllus (Petrovic) Arènes	Carduus nutans	Plantae	Manual of the Alien Plants of Belgium		
152544504	7466434	8262702	Pastinaca sativa subsp. urens (Req. ex Godr.) Celak.	Pastinaca sativa	Plantae	Manual of the Alien Plants of Belgium		
152544506	7224157	8262702	Pastinaca sativa subsp. sativa	Pastinaca sativa	Plantae	Manual of the Alien Plants of Belgium		
152544565	6308164	6027018	Scandix australis subsp. grandiflora (L.) Thell.	Scandix australis	Plantae	Manual of the Alien Plants of Belgium		
152544576	4271356	3034830	Heracleum sphondylium subsp. sibiricum (L.) Simonk.	Heracleum sphondylium	Plantae	Manual of the Alien Plants of Belgium	FALSE	
152544749	4048052	3039285	Hippophae rhamnoides subsp. caucasica Rousi	Hippophae rhamnoides	Plantae	Manual of the Alien Plants of Belgium	FALSE	
152544786	7271631	5362573	Pyrus communis subsp. communis	Pyrus communis	Plantae	Manual of the Alien Plants of Belgium	FALSE	
152544800	8045533	5366090	Potentilla supina subsp. costata Soják	Potentilla supina	Plantae	Manual of the Alien Plants of Belgium		
152544802	8358048	5367294	Potentilla recta subsp. obscura (Willd.) Arcang.	Potentilla recta	Plantae	Manual of the Alien Plants of Belgium		
152544803	7272439	5367294	Potentilla recta subsp. recta	Potentilla recta	Plantae	Manual of the Alien Plants of Belgium		
152544898	6369140	7931731	Prunus domestica subsp. domestica	Prunus domestica	Plantae	Manual of the Alien Plants of Belgium		
152544934	8421432	3082234	Cornus sanguinea subsp. hungarica (Kárpáti) Soó	Cornus sanguinea	Plantae	Manual of the Alien Plants of Belgium		
152544935	3663237	3082234	Cornus sanguinea subsp. australis (C.A.Mey.) Jáv.	Cornus sanguinea	Plantae	Manual of the Alien Plants of Belgium		
152544984	3802956	2929505	Solanum villosum subsp. villosum	Solanum villosum	Plantae	Manual of the Alien Plants of Belgium		
152545002	7427650	7162908	Convolvulus tricolor subsp. cupanianus (Tod.) Cavara & Grande	Convolvulus tricolor	Plantae	Manual of the Alien Plants of Belgium		
152545003	7323906	7162908	Convolvulus tricolor subsp. tricolor	Convolvulus tricolor	Plantae	Manual of the Alien Plants of Belgium		
152545052	7224427	6109535	Trifolium hybridum subsp. hybridum	Trifolium hybridum	Plantae	Manual of the Alien Plants of Belgium		
152545072	5359402	6109535	Trifolium hybridum subsp. elegans (Savi) Asch. & Graebn.	Trifolium hybridum	Plantae	Manual of the Alien Plants of Belgium		
152545091	5347854	5347845	Pisum sativum var. sativum	Pisum sativum	Plantae	Manual of the Alien Plants of Belgium		
152545105	5352372	5352367	Anthyllis vulneraria subsp. polyphylla (DC.) Nyman	Anthyllis vulneraria	Plantae	Manual of the Alien Plants of Belgium	FALSE	
152545106	5352425	5352367	Anthyllis vulneraria subsp. carpatica (Pant.) Nyman	Anthyllis vulneraria	Plantae	Manual of the Alien Plants of Belgium	FALSE	
152545163	7068379	2975014	Vicia sativa subsp. sativa	Vicia sativa	Plantae	Manual of the Alien Plants of Belgium		
152545179	2974921	9182154	Vicia villosa subsp. varia (Host) Corb.	Vicia villosa	Plantae	Manual of the Alien Plants of Belgium	TRUE	
213215259	8925248	2913169	Galium parisiense var. parisiense	Galium parisiense	Plantae	Manual of the Alien Plants of Belgium		
152545264	2914404	9063248	Galium verum subsp. wirtgenii (F.W.Schultz) Oborny	Galium verum	Plantae	Manual of the Alien Plants of Belgium	FALSE	only subsp. Verum is native
213214560	5373483	5373475	Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) A.Prina	Crambe hispanica	Plantae	Manual of the Alien Plants of Belgium		
152545323	7225621	9040863	Neslia paniculata subsp. paniculata	Neslia paniculata	Plantae	Manual of the Alien Plants of Belgium		
152545393	3042889	3042888	Brassica elongata subsp. integrifolia (Boiss.) Breistr.	Brassica elongata	Plantae	Manual of the Alien Plants of Belgium		
152545400	3040999	3040983	Raphanus raphanistrum subsp. landra (Moretti ex DC.) Bonnier & Layens	Raphanus raphanistrum	Plantae	Manual of the Alien Plants of Belgium		
152545448	7068732	3052509	Arabidopsis arenosa subsp. arenosa	Arabidopsis arenosa	Plantae	Manual of the Alien Plants of Belgium		
152545466	3047633	3047621	Sinapis alba subsp. dissecta (Lag.) Simonk.	Sinapis alba	Plantae	Manual of the Alien Plants of Belgium		
152545471	7853188	3040252	Reseda lutea subsp. vivantii (P.Monts.) Rovira	Reseda lutea	Plantae	Manual of the Alien Plants of Belgium	FALSE	
152545485	7536406	2928026	Nemophila menziesii var. integrifolia Brand	Nemophila menziesii	Plantae	Manual of the Alien Plants of Belgium		
213214066	6420901	2928026	Nemophila menziesii var. menziesii Hook. & Arn.	Nemophila menziesii	Plantae	Manual of the Alien Plants of Belgium		
152545493	7295374	5341201	Anchusa officinalis subsp. officinalis	Anchusa officinalis	Plantae	Manual of the Alien Plants of Belgium		
152545580	6432925	7325877	Fraxinus angustifolia subsp. oxycarpa (Willd.) Franco & Rocha Afonso	Fraxinus angustifolia	Plantae	Manual of the Alien Plants of Belgium		
213215546	8006893	3170819	Kickxia elatine subsp. sieberi (Rchb.) Hayek	Kickxia elatine	Plantae	Manual of the Alien Plants of Belgium		
152545641	7331861	8200663	Cymbalaria muralis subsp. muralis	Cymbalaria muralis	Plantae	Manual of the Alien Plants of Belgium	TRUE	
152545691	9508942	2926612	Origanum vulgare subsp. hirtum (Link) A.Terracc.	Origanum vulgare	Plantae	Manual of the Alien Plants of Belgium	FALSE	
152545696	6409536	2926894	Ballota nigra subsp. nigra	Ballota nigra	Plantae	Manual of the Alien Plants of Belgium		
152545727	7096205	8916040	Clinopodium nepeta subsp. nepeta	Clinopodium nepeta	Plantae	Manual of the Alien Plants of Belgium		
152545739	6411098	2927324	Lamium galeobdolon subsp. argentatum (Smejkal) J.Duvign.	Lamium galeobdolon	Plantae	Manual of the Alien Plants of Belgium	FALSE	
152545740	7308043	7308042	Lamium garganicum subsp. garganicum	Lamium garganicum	Plantae	Manual of the Alien Plants of Belgium		
152545787	7455425	5341112	Phyla nodiflora var. minor (Gillies & Hook.) N.O'Leary & Múlgura	Phyla nodiflora	Plantae	Manual of the Alien Plants of Belgium		
152545828	7223680	5341548	Gilia capitata subsp. capitata	Gilia capitata	Plantae	Manual of the Alien Plants of Belgium		
152545829	5659657	5341548	Gilia capitata subsp. mediomontana V.E.Grant	Gilia capitata	Plantae	Manual of the Alien Plants of Belgium		
152545891	4090836	8930531	Armeria maritima subsp. elongata (Hoffm.) Bonnier	Armeria maritima	Plantae	Manual of the Alien Plants of Belgium	FALSE	
213214961	9567226		Oxybasis glauca var. salina (Standl.) Verloove	Oxybasis glauca	Plantae	Manual of the Alien Plants of Belgium		
152545923	7068845	8971274	Beta vulgaris subsp. vulgaris	Beta vulgaris	Plantae	Manual of the Alien Plants of Belgium		
152545937	7323834	7323833	Amaranthus macrocarpus var. macrocarpus	Amaranthus macrocarpus	Plantae	Manual of the Alien Plants of Belgium		
152545940	7323341	7323340	Amaranthus capensis subsp. capensis	Amaranthus capensis	Plantae	Manual of the Alien Plants of Belgium		
152545945	5548011	7323340	Amaranthus capensis subsp. uncinatus (Thell.) Brenan	Amaranthus capensis	Plantae	Manual of the Alien Plants of Belgium		
152546050	7267492	6364078	Silene nocturna subsp. nocturna	Silene nocturna	Plantae	Manual of the Alien Plants of Belgium		
152546075	7267631	7267630	Dianthus giganteus subsp. giganteus	Dianthus giganteus	Plantae	Manual of the Alien Plants of Belgium		
152546110	5652131	7821030	Polygonum aviculare subsp. rurivagum (Jord. ex Boreau) Berher	Polygonum aviculare	Plantae	Manual of the Alien Plants of Belgium		
152546136	7415922	2888978	Rumex pulcher subsp. woodsii (De Not.) Arcangeli	Rumex pulcher	Plantae	Manual of the Alien Plants of Belgium		
152546138	7901010	2889011	Rumex obtusifolius subsp. sylvestris (Lam.) Celak.	Rumex obtusifolius	Plantae	Manual of the Alien Plants of Belgium		
213214862	7624620	8195144	Rumex crispus var. robustus Rech.	Rumex crispus	Plantae	Manual of the Alien Plants of Belgium		
152546143	4036957	2888978	Rumex pulcher subsp. pulcher	Rumex pulcher	Plantae	Manual of the Alien Plants of Belgium		
213215403	9771172	2888778	Valerianella locusta subsp. locusta	Valerianella locusta	Plantae	Manual of the Alien Plants of Belgium		
152546322	3922770		Aconitum napellus var. giganteum (Dumort. ex Thielens) J.Duvigneaud		Plantae	Manual of the Alien Plants of Belgium		
152546402	3602069	2888439	Papaver somniferum subsp. somniferum	Papaver somniferum	Plantae	Manual of the Alien Plants of Belgium		
152546440	3065244	3065239	Euphorbia amygdaloides subsp. robbiae (Turrill) Stace	Euphorbia amygdaloides	Plantae	Manual of the Alien Plants of Belgium	FALSE	
152546478	7293222	2873877	Linum austriacum subsp. austriacum	Linum austriacum	Plantae	Manual of the Alien Plants of Belgium		
152546507	5825913	5284809	Pinus nigra subsp. laricio (Poir.) Maire	Pinus nigra	Plantae	Manual of the Alien Plants of Belgium	TRUE	
152546508	7230699	5284809	Pinus nigra subsp. nigra	Pinus nigra	Plantae	Manual of the Alien Plants of Belgium	TRUE	
152546703	2769073	2769069	Camassia leichtlinii subsp. suksdorfii (Greenm.) Gould	Camassia leichtlinii	Plantae	Manual of the Alien Plants of Belgium		
152546743	7421129	8243603	Cyperus longus subsp. badius (Desf.) Bonnier & Layens	Cyperus longus	Plantae	Manual of the Alien Plants of Belgium		
152546744	7070211	8243603	Cyperus longus subsp. longus	Cyperus longus	Plantae	Manual of the Alien Plants of Belgium		
152546762	7227181	2722926	Carex muricata subsp. muricata	Carex muricata	Plantae	Manual of the Alien Plants of Belgium		
152546784	7998563	8010581	Diplachne fusca subsp. fusca	Diplachne fusca	Plantae	Manual of the Alien Plants of Belgium		
152546785	8257546	8010581	Diplachne fusca subsp. fascicularis (Lam.) P.M.Peterson & N.Snow	Diplachne fusca	Plantae	Manual of the Alien Plants of Belgium		
152546786	8369366	8010581	Diplachne fusca subsp. uninervia (J.Presl) P.M.Peterson & N.Snow	Diplachne fusca	Plantae	Manual of the Alien Plants of Belgium		
152546831	7226776	5289686	Setaria verticillata var. verticillata	Setaria verticillata	Plantae	Manual of the Alien Plants of Belgium		
152546942	6710856	4104891	Austrostipa scabra subsp. scabra	Austrostipa scabra	Plantae	Manual of the Alien Plants of Belgium		
152546944	4104890	4104891	Austrostipa scabra subsp. falcata (Hughes) S.W.L.Jacobs & J.Everett	Austrostipa scabra	Plantae	Manual of the Alien Plants of Belgium		
152546949	4131042	2703777	Bromus hordeaceus subsp. longipedicellatus Spalton	Bromus hordeaceus	Plantae	Manual of the Alien Plants of Belgium		
152546991	4270675	2702816	Echinochloa muricata var. muricata	Echinochloa muricata	Plantae	Manual of the Alien Plants of Belgium		
152547042	7226804	2705286	Avena sterilis subsp. sterilis	Avena sterilis	Plantae	Manual of the Alien Plants of Belgium		
152547092	6449041	2705090	Panicum miliaceum subsp. miliaceum	Panicum miliaceum	Plantae	Manual of the Alien Plants of Belgium		
152547124	2706403	7795888	Triticum aestivum subsp. spelta (L.) Thell.	Triticum aestivum	Plantae	Manual of the Alien Plants of Belgium		
159747332	2717402	2717400	Eleocharis mamillata subsp. austriaca (Hayek) Strandh.	Eleocharis mamillata	Plantae	Manual of the Alien Plants of Belgium		
213214077	9405645	5341197	Lycopsis arvensis subsp. orientalis (L.) Kuzn.	Lycopsis arvensis	Plantae	Manual of the Alien Plants of Belgium	
213212823	2705287	2705286	Avena sterilis subsp. ludoviciana (Durieu) Nyman	Avena sterilis	Plantae	Manual of the Alien Plants of Belgium	
213215716	3023671	7931731	Prunus domestica subsp. syriaca (Borkh.) Janch.	Prunus domestica	Plantae	Manual of the Alien Plants of Belgium	
182134719	3596131	8237223	Halimium lasianthum subsp. alyssoides (Lam.) Greuter	Halimium lasianthum	Plantae	Halimium lasianthum	Waarnemingen.be / observations.be - List of species observed in Belgium;Manual of the Alien Plants of Belgium	
213213452	3666059	3188894	Oenothera glazioviana f. rubricalyx (R.R.Gates) Lambinon	Oenothera glazioviana	Plantae	Waarnemingen.be / observations.be - List of species observed in Belgium;Manual of the Alien Plants of Belgium	
213212901	4115425	7886346	Hordeum murinum subsp. glaucum (Steud.) Tzvelev	Hordeum murinum	Plantae	Manual of the Alien Plants of Belgium	
213212768	4123394	4123395	Festuca guestfalica subsp. hirtula (Hack. ex Travis) Dengler	Festuca guestfalica	Plantae	Manual of the Alien Plants of Belgium	
213213619	4194303	2986111	Ribes aureum var. villosum DC.	Ribes aureum	Plantae	Manual of the Alien Plants of Belgium	
182134921	4219118	9689880	Hieracium glaucinum subsp. recensitum (Jord. ex Boreau) Gottschl.	Hieracium glaucinum	Plantae	Manual of the Alien Plants of Belgium	
213215134	4250676	3105782	Sonchus asper subsp. glaucescens (Jord.) Ballota	Sonchus asper	Plantae	Manual of the Alien Plants of Belgium	